species_id,stId,name,FDR,entities_tot,entities_found,reactions_tot,reactions_found
9606,R-HSA-1643685,Disease,6.306066779870889e-14,3093,89,2167,348
9606,R-HSA-5663205,Infectious disease,6.306066779870889e-14,1962,68,1225,179
9606,R-HSA-2262752,Cellular responses to stress,6.714628852932947e-13,1039,47,521,92
9606,R-HSA-2559586,DNA Damage/Telomere Stress Induced Senescence,4.162004074714787e-12,70,15,18,2
9606,R-HSA-8953897,Cellular responses to stimuli,5.350719867180942e-12,1166,48,613,103
9606,R-HSA-9824446,Viral Infection Pathways,5.350719867180942e-12,1404,53,897,132
9606,R-HSA-422475,Axon guidance,5.850719908551127e-11,566,32,295,34
9606,R-HSA-9839923,Dengue Virus Infection,1.4705747730658913e-10,411,27,142,25
9606,R-HSA-9675108,Nervous system development,2.388589326329793e-10,603,32,322,34
9606,R-HSA-75153,Apoptotic execution phase,4.986467905254699e-10,54,12,57,9
9606,R-HSA-140342,Apoptosis induced DNA fragmentation,6.57529586334249e-10,13,8,12,3
9606,R-HSA-114608,Platelet degranulation ,2.6001951702880888e-09,142,16,11,5
9606,R-HSA-76005,Response to elevated platelet cytosolic Ca2+,4.5006028903671336e-09,149,16,14,5
9606,R-HSA-2559584,Formation of Senescence-Associated Heterochromatin Foci (SAHF),4.5006028903671336e-09,17,8,2,1
9606,R-HSA-5625740,RHO GTPases activate PKNs,2.4562202272093714e-08,79,12,20,10
9606,R-HSA-2559583,Cellular Senescence,3.103375478819004e-08,199,17,90,11
9606,R-HSA-156842,Eukaryotic Translation Elongation,3.214060018130738e-08,102,13,9,5
9606,R-HSA-195258,RHO GTPase Effectors,3.427320727222849e-08,325,21,113,50
9606,R-HSA-76002,"Platelet activation, signaling and aggregation",3.550892158088459e-08,294,20,119,36
9606,R-HSA-9954709,Ribosome Quality Control (RQC) complex extracts and degrades nascent peptide,4.3031989638286916e-08,106,13,13,13
9606,R-HSA-216083,Integrin cell surface interactions,4.3031989638286916e-08,86,12,55,8
9606,R-HSA-109581,Apoptosis,4.3031989638286916e-08,180,16,142,13
9606,R-HSA-5357801,Programmed Cell Death,1.3199384796269698e-07,225,17,194,23
9606,R-HSA-2173782,Binding and Uptake of Ligands by Scavenger Receptors,1.6493039933784814e-07,172,15,35,15
9606,R-HSA-168255,Influenza Infection,1.6493039933784814e-07,200,16,61,6
9606,R-HSA-9918481,Dengue Virus-Host Interactions,3.316492093174972e-07,274,18,59,15
