species_id,stId,name,FDR,entities_tot,entities_found,reactions_tot,reactions_found
9606,R-HSA-9824446,Viral Infection Pathways,2.6444022971361392e-08,1404,30,897,67
9606,R-HSA-9839923,Dengue Virus Infection,3.580615604015236e-08,411,17,142,12
9606,R-HSA-5663205,Infectious disease,7.782551003643334e-08,1962,34,1225,74
9606,R-HSA-8953854,Metabolism of RNA,2.1050796206179e-07,862,22,244,73
9606,R-HSA-72163,mRNA Splicing - Major Pathway,2.500682865225201e-07,213,12,11,11
9606,R-HSA-72203,Processing of Capped Intron-Containing Pre-mRNA,2.500682865225201e-07,317,14,52,44
9606,R-HSA-72187,mRNA 3'-end processing,2.500682865225201e-07,164,11,21,14
9606,R-HSA-72172,mRNA Splicing,3.414708413806977e-07,224,12,16,16
9606,R-HSA-9918481,Dengue Virus-Host Interactions,3.414708413806977e-07,274,13,59,5
9606,R-HSA-9770562,mRNA Polyadenylation,6.0442040470398695e-06,139,9,20,13
9606,R-HSA-1643685,Disease,0.00017941430813106507,3093,36,2167,121
9606,R-HSA-446728,Cell junction organization,0.0023829160118296056,298,9,162,18
9606,R-HSA-418990,Adherens junctions interactions,0.0028362431763993,238,8,141,17
9606,R-HSA-8953897,Cellular responses to stimuli,0.002836891353622306,1166,18,613,59
9606,R-HSA-1500931,Cell-Cell communication,0.004363973833312329,336,9,185,18
9606,R-HSA-450408,AUF1 (hnRNP D0) binds and destabilizes mRNA,0.004363973833312329,43,4,4,3
9606,R-HSA-9675108,Nervous system development,0.004815731109899524,603,12,322,19
9606,R-HSA-194315,Signaling by Rho GTPases,0.004912638737868402,708,13,203,57
9606,R-HSA-421270,Cell-cell junction organization,0.004912638737868402,271,8,146,17
9606,R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",0.005436424478954649,724,13,212,57
9606,R-HSA-2262752,Cellular responses to stress,0.005436424478954649,1039,16,521,49
9606,R-HSA-9759476,Regulation of Homotypic Cell-Cell Adhesion,0.006116836711841378,215,7,125,11
9606,R-HSA-376176,Signaling by ROBO receptors,0.006942619571856046,222,7,60,5
9606,R-HSA-422475,Axon guidance,0.008077208753188181,566,11,295,17
9606,R-HSA-9013409,RHOJ GTPase cycle,0.008840870624837072,59,4,3,2
9606,R-HSA-9013422,RHOBTB1 GTPase cycle,0.008840870624837072,24,3,2,1
9606,R-HSA-68886,M Phase,0.009893197804825005,403,9,96,27
9606,R-HSA-5627123,RHO GTPases activate PAKs,0.010972777516858545,27,3,15,11
9606,R-HSA-9918487,Dengue Virus Genome Translation and Replication,0.010972777516858545,115,5,64,5
9606,R-HSA-73856,RNA Polymerase II Transcription Termination,0.013421234632386314,69,4,4,2
9606,R-HSA-9764265,Regulation of CDH1 Expression and Function,0.014870086359695223,192,6,92,7
9606,R-HSA-9764274,Regulation of Expression and Function of Type I Classical Cadherins,0.014870086359695223,192,6,92,7
9606,R-HSA-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand,0.017441130919348957,76,4,22,9
9606,R-HSA-68875,Mitotic Prophase,0.018348282800573212,134,5,34,12
9606,R-HSA-9816359,Maternal to zygotic transition (MZT),0.019222514044933137,137,5,46,21
9606,R-HSA-9706574,RHOBTB GTPase Cycle,0.019641299918027988,36,3,4,2
9606,R-HSA-450531,Regulation of mRNA stability by proteins that bind AU-rich elements,0.019641299918027988,80,4,26,3
9606,R-HSA-159236,Transport of Mature mRNA derived from an Intron-Containing Transcript,0.019835863740493176,81,4,4,4
9606,R-HSA-211733,Regulation of activated PAK-2p34 by proteasome mediated degradation,0.02005964559786222,37,3,2,2
9606,R-HSA-69278,"Cell Cycle, Mitotic",0.025383063391635652,587,10,367,43
9606,R-HSA-72202,Transport of Mature Transcript to Cytoplasm,0.025885207879319694,90,4,13,13
9606,R-HSA-9948299,Ribosome-associated quality control,0.026044136374812066,155,5,20,18
9606,R-HSA-169911,Regulation of Apoptosis,0.026044136374812066,42,3,5,4
9606,R-HSA-8939236,RUNX1 regulates transcription of genes involved in differentiation of HSCs,0.02627785876792299,92,4,15,4
9606,R-HSA-9663891,Selective autophagy,0.028384563447202193,97,4,56,10
9606,R-HSA-195258,RHO GTPase Effectors,0.028384563447202193,325,7,113,26
9606,R-HSA-1266738,Developmental Biology,0.028384563447202193,1968,21,980,101
9606,R-HSA-1640170,Cell Cycle,0.028384563447202193,729,11,474,74
9606,R-HSA-2555396,Mitotic Metaphase and Anaphase,0.028384563447202193,237,6,33,7
9606,R-HSA-9646399,Aggrephagy,0.028384563447202193,47,3,15,5
