species_id,stId,name,FDR,entities_tot,entities_found,reactions_tot,reactions_found
9606,R-HSA-72203,Processing of Capped Intron-Containing Pre-mRNA,0.000460443752839379,317,19,52,44
9606,R-HSA-176033,Interactions of Vpr with host cellular proteins,0.000460443752839379,47,8,4,3
9606,R-HSA-4615885,SUMOylation of DNA replication proteins,0.00047847724498706334,50,8,8,4
9606,R-HSA-69278,"Cell Cycle, Mitotic",0.00047847724498706334,587,26,367,83
9606,R-HSA-180910,Vpr-mediated nuclear import of PICs,0.0009830716967895725,44,7,2,2
9606,R-HSA-4551638,SUMOylation of chromatin organization proteins,0.0009830716967895725,62,8,15,5
9606,R-HSA-194315,Signaling by Rho GTPases,0.0009830716967895725,708,28,203,48
9606,R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",0.0010735779039678928,724,28,212,48
9606,R-HSA-2980766,Nuclear Envelope Breakdown,0.0010735779039678928,65,8,13,5
9606,R-HSA-1640170,Cell Cycle,0.0010832078717399884,729,28,474,124
9606,R-HSA-5619107,Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC),0.0021951778725967097,36,6,1,1
9606,R-HSA-159227,Transport of the SLBP independent Mature mRNA,0.00268545015504551,39,6,3,3
9606,R-HSA-4085377,SUMOylation of SUMOylation proteins,0.00268545015504551,39,6,5,2
9606,R-HSA-3108232,SUMO E3 ligases SUMOylate target proteins,0.00268545015504551,184,12,132,20
9606,R-HSA-159230,Transport of the SLBP Dependant Mature mRNA,0.0026893429387242485,40,6,3,3
9606,R-HSA-170822,Regulation of Glucokinase by Glucokinase Regulatory Protein,0.0026893429387242485,40,6,5,1
9606,R-HSA-159236,Transport of Mature mRNA derived from an Intron-Containing Transcript,0.0026895159771629373,81,8,4,4
9606,R-HSA-2990846,SUMOylation,0.0027226139965399465,193,12,141,20
9606,R-HSA-180746,Nuclear import of Rev protein,0.0027226139965399465,41,6,7,2
9606,R-HSA-3301854,Nuclear Pore Complex (NPC) Disassembly,0.0027226139965399465,42,6,2,2
9606,R-HSA-68875,Mitotic Prophase,0.0027226139965399465,134,10,34,15
9606,R-HSA-3232142,SUMOylation of ubiquitinylation proteins,0.00288073363436947,43,6,3,1
9606,R-HSA-2995410,Nuclear Envelope (NE) Reassembly,0.0032692030100807123,88,8,24,11
9606,R-HSA-165054,Rev-mediated nuclear export of HIV RNA,0.0032692030100807123,45,6,10,2
9606,R-HSA-159231,Transport of Mature mRNA Derived from an Intronless Transcript,0.0034443145096041405,46,6,3,3
9606,R-HSA-72202,Transport of Mature Transcript to Cytoplasm,0.0034443145096041405,90,8,13,13
9606,R-HSA-159234,Transport of Mature mRNAs Derived from Intronless Transcripts,0.003606088646492145,47,6,9,9
9606,R-HSA-177243,Interactions of Rev with host cellular proteins,0.003606088646492145,47,6,16,4
